Perusahaan,ROCE19,ROCE20,ROCE21,ROS19,ROS20,ROS21
PT Adhi Karya (Persero) Tbk.,0.17318,0.06392,0.07831,0.07732,0.03291,0.03843
PT Pembangunan Perumahan (Persero) Tbk.,0.07155,0.05395,0.06754,0.05027,0.04773,0.05773
PT Nusa Konstruksi Enjiniring Tbk. ,0.00674,-0.02117,0.01593,0.00491,-0.02856,0.02831
PT Total Bangun Persada Tbk.,0.16558,0.09852,0.08370,0.07205,0.04895,0.05908
PT Jaya Konstruksi Manggala Pratama Tbk.,0.09572,0.03348,-0.00568,0.04720,0.02981,-0.00433
PT Wijaya Karya (Persero) Tbk.,0.14515,0.01863,0.01128,0.10250,0.01876,0.01104
PT Nusa Raya Cipta Tbk.,0.13720,0.09816,0.08324,0.06400,0.05427,0.05818
PT Waskita Karya (Persero) Tbk.,0.04563,-0.58690,-0.07025,0.04233,-0.60094,-0.08886
PT Cahayasakti Investo Sukses Tbk.,-0.04603,0.05758,0.07552,-0.13997,0.18044,0.25948
PT Indonesia Pondasi Raya Tbk.,-0.00023,-0.49501,-0.23056,-0.00029,-0.58247,-0.16397
PT Totalindo Eka Persada Tbk.,-0.12143,-0.14862,0.02207,-0.28322,-0.39318,0.03083
PT Wijaya Karya Bangunan Gedung Tbk.,0.18574,0.07119,0.09090,0.10001,0.05560,0.06833
PT Superkrane Mitra Utama Tbk.,0.24334,0.02392,-0.00602,0.26295,0.04459,-0.00800
PT Paramita Bangun Sarana Tbk.,0.04508,0.09906,0.15921,0.03989,0.09608,0.33136
PT Lancartama Sejati Tbk.,0.12729,-0.06281,0.03424,0.06905,-0.12355,0.03412
PT Surya Semesta Internusa Tbk.,0.03681,-0.02369,-0.04849,0.04114,-0.03401,-0.08348
